CL_NUM,CL_AGUA
5459,0.0
56,0.0
286,0.0
182,0.0
5129,0.0
5944,0.0
5763,0.0
6176,0.0
18,0.0
716,0.0
5858,0.0
5518,0.0
38,0.0
100,0.0
268,0.0
65,0.0
6046,0.0
5875,0.0
7,0.0
5,0.0
6319,0.0
5623,0.0
787,0.0
5682,0.0
5597,0.0
655,0.0
955,0.0
5851,0.0
5628,0.0
1023,0.0
1,0.0
5233,0.0
175,0.0
5082,0.0
1022,0.0
5354,0.0
5931,0.0
42,0.0
109,0.0
5481,0.0
591,0.0
5222,0.0
5989,0.0
5417,0.0
393,0.0
5010,0.0
1018,0.0
16,0.0
1042,0.0
63,0.0
977,0.0
5514,0.0
5811,0.0
5433,0.0
5019,0.0
5167,0.0
6134,0.0
5641,0.0
5104,0.0
5177,0.0
5153,0.0
1077,0.0
602,0.0
398,0.0
6275,0.0
157,0.0
5528,0.0
5519,0.0
5566,0.0
5593,0.0
5873,0.0
5555,0.0
1119,0.0
24,0.0
5993,0.0
6224,0.0
899,0.0
6141,0.0
1050,0.0
339,0.0
5707,0.0
510,0.0
6330,0.0
5403,0.0
6228,0.0
848,0.0
22,0.0
6309,0.0
6096,0.0
25,0.0
1115,0.0
30,0.0
104,0.0
110,0.0
652,0.0
9,0.0
567,0.0
5694,0.0
5004,0.0
482,0.0
388,0.0
5642,0.0
5028,0.0
5976,0.0
210,0.0
909,0.0
5011,0.0
6120,0.0
5995,0.0
204,0.0
589,0.0
548,0.0
185,0.0
5943,0.0
521,0.0
533,0.0
486,0.0
1060,0.0
5760,0.0
6008,0.0
5837,0.0
147,0.0
418,0.0
208,0.0
5350,0.0
582,0.0
950,0.0
5318,0.0
475,0.0
5855,0.0
5776,0.0
451,0.0
1008,0.0
5653,0.0
646,0.0
6348,0.0
200,0.0
768,0.0
946,0.0
5508,0.0
6230,0.0
5652,0.0
573,0.0
29,0.0
119,0.0
5000,0.0
808,0.0
409,0.0
982,0.0
1071,0.0
6358,0.0
5735,0.0
6025,0.0
908,0.0
5824,0.0
368,0.0
675,0.0
1109,0.0
6226,0.0
6060,0.0
506,0.0
6353,0.0
328,0.0
637,0.0
5882,0.0
692,0.0
6352,0.0
1140,0.0
94,0.0
6078,0.0
5655,0.0
5939,0.0
5716,0.0
5974,0.0
6363,0.0
5036,0.0
6009,0.0
518,0.0
957,0.0
5520,0.0
5835,0.0
5248,0.0
221,0.0
6368,0.0
6143,0.0
673,0.0
6369,0.0
6135,0.0
5768,0.0
5327,0.0
5339,0.0
1112,0.0
6211,0.0
10,0.0
523,0.0
1086,0.0
5895,0.0
949,0.0
1127,0.0
5437,0.0
1094,0.0
6292,0.0
684,0.0
74,0.0
5978,0.0
47,0.0
133,0.0
6371,0.0
5066,0.0
782,0.0
5180,0.0
23,0.0
6251,0.0
814,0.0
1120,0.0
6373,0.0
1105,0.0
6372,0.0
1064,0.0
943,0.0
5083,0.0
5060,0.0
871,0.0
227,0.0
5009,0.0
6089,0.0
929,0.0
1031,0.0
6139,0.0
6318,0.0
1155,0.0
1017,0.0
6338,0.0
6382,0.0
252,0.0
5126,0.0
6161,0.0
5452,0.0
5151,0.0
969,0.0
5726,0.0
6256,0.0
863,0.0
5991,0.0
5605,0.0
118,0.0
5813,0.0
6300,0.0
6387,0.0
5476,0.0
5419,0.0
5070,0.0
5490,0.0
33,0.0
625,0.0
473,0.0
6362,0.0
857,0.0
474,0.0
6317,0.0
528,0.0
6094,0.0
626,0.0
5048,0.0
995,0.0
847,0.0
6137,0.0
5348,0.0
6280,0.0
5634,0.0
614,0.0
6395,0.0
6199,0.0
5990,0.0
5021,0.0
6390,0.0
6391,0.0
241,0.0
5320,0.0
6399,0.0
911,0.0
6397,0.0
6052,0.0
6160,0.0
201,0.0
5953,0.0
274,0.0
6407,0.0
1128,0.0
6396,0.0
6181,0.0
5899,0.0
5232,0.0
5193,0.0
6410,0.0
6411,0.0
5251,0.0
5965,0.0
6097,0.0
5314,0.0
6003,0.0
6210,0.0
6414,0.0
5676,0.0
6415,0.0
5420,0.0
5402,0.0
5440,0.0
6418,0.0
6271,0.0
6066,0.0
6419,0.0
5720,0.0
6421,0.0
1156,0.0
6151,0.0
6425,0.0
5880,0.0
6375,0.0
6232,0.0
6426,0.0
6105,0.0
5380,0.0
48,0.0
6427,0.0
5891,0.0
6121,0.0
6027,0.0
96,0.0
5784,0.0
6432,0.0
6393,0.0
6206,0.0
78,0.0
753,0.0
6413,0.0
6040,0.0
5203,0.0
229,0.0
5524,0.0
5607,0.0
5809,0.0
1141,0.0
5246,0.0
6156,0.0
6435,0.0
6437,0.0
5862,0.0
5643,0.0
6443,0.0
6147,0.0
6100,0.0
5080,0.0
5135,0.0
5506,0.0
5134,0.0
546,0.0
5819,0.0
6448,0.0
52,0.0
415,0.0
5829,0.0
6452,0.0
6191,0.0
6038,0.0
6460,0.0
5478,0.0
76,0.0
6170,0.0
6462,0.0
6458,0.0
6464,0.0
6042,0.0
5378,0.0
6469,0.0
6045,0.0
5820,0.0
6159,0.0
5874,0.0
6472,0.0
440,0.0
149,0.0
