TAC_CODI,TAC_NUCU,TAC_PORC,M_GRUPO
0,1,0.0,0
1,1,0.0,0
1,2,0.0,0
1,3,0.0,0
2,1,0.0,0
1,4,0.0,0
1,5,0.0,0
1,6,0.0,0
1,7,0.0,0
1,8,0.0,0
1,9,0.0,0
1,10,0.0,0
1,11,0.0,0
1,12,0.0,0
3,1,0.0,0
3,2,0.0,0
3,3,0.0,0
3,4,0.0,0
3,5,0.0,0
3,6,0.0,0
3,7,0.0,0
3,8,0.0,0
3,9,0.0,0
3,10,0.0,0
3,11,0.0,0
3,12,0.0,0
