PVE_DETA,PVE_CODI,PVE_PORC,PVE_MONT,PVE_ACTI,PVE_IVEN,PVE_AGEN,PVE_AGRU,PVE_PADR
PERC. IIBB BSAS,1,5.0,3500.0,0,,0,6,\\Sgestioner\grwjuliocontisrl\ARBA\RGSPer022026.TXT                                                 
PERC. IVA      ,1,3.0,3500.0,0,,0,6,Z:\ARBA\RGSPer092025.TXT                                                                            
