CMI_FECH,CMI_HORA,CMI_COMP,CMI_SUCU,CMI_ORIG,CMI_DEST,CFG_ID,OPE_OPER,CMI_OBSE,CMI_CANT,CMI_BULT,CMI_VALO,W_ULTPRO,W_ULTFEC,W_ULTHOR,W_IDOR,W_IDHI,W_ORIG,W_STAT,W_TDOC,W_CTDORI,W_CLNUM,W_PRNUM
2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,26775,0002-CONTI JULIO                   ,"Imp:     395-Fact A 0020-00125088
",109.0,109,207054.21,,,,,,,,,,,
2017-05-03,09:59:29,CMI-00000002,0,Central DEPO 2                     ,Central DEPO 1                     ,26776,0002-CONTI JULIO                   ,"Imp:     395-Fact A 0020-00125088
",109.0,109,207054.21,,,,,,,,,,,
