CAJ_FECH,VTA_COMP,CAJ_IN,CAJ_OUT,CAJ_MPAG,CAJ_TIPO,OPE_OPER,CAJ_ORIG,CAJ_DEST,CAJ_HORA,CAJ_OBSE,CAJ_VERC,CFG_ID,CAJ_TCAM,CAJ_LSIN,CAJ_MEXT
2017-02-16,Opag X 0014-00000005,0.0,-0.52, 1-EFECTIVO              ,3,0002-CONTI JULIO                   ,Caja Diaria                           ,     14-MACOFER DE ROLDAN             ,14:41:02,Caj:2D  Fec:16/02/2017                                                                            ,P2,0,0.0,0,0.0
2017-09-15,Opag X 0012-00000074,0.0,0.52, 1-EFECTIVO              ,3,0002-CONTI JULIO                   ,Caja Diaria                           ,    197-GRUPO LINDE GAS ARG SA        ,08:53:04,Caj:2D  Fec:15/09/2017                                                                            ,P2,0,0.0,0,0.0
